iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0447632,0.00493907,0.0557685,1,346,1,0
10000,24.1688,0.00493907,0.0557685,5525,800022,9999,0
20000,32.2101,0.00493907,0.0557685,10237,1169834,10000,0
20000,36.9625,0.00493907,0.0557685,10237,1169834,10000,0
10000,17.2681,0.00493907,0.0557685,5525,800022,9999,0
30000,45.4869,0.00493907,0.0557685,14962,1320136,10000,0
20000,42.9588,0.00493907,0.0557685,10237,1169834,10000,0
30000,52.5669,0.00493907,0.0557685,14962,1320136,10000,0
20000,31.7231,0.00493907,0.0557685,10237,1169834,10000,0
40000,58.069,0.00493907,0.0557685,19568,1310158,10000,0
30000,59.1238,0.00493907,0.0557685,14962,1320136,10000,0
40000,67.0812,0.00493907,0.0557685,19568,1310158,10000,0
30000,44.8882,0.00493907,0.0557685,14962,1320136,10000,0
50000,71.5683,0.00493907,0.0557685,24050,1400178,10000,0
40000,73.7519,0.00493907,0.0557685,19568,1310158,10000,0
40000,57.1645,0.00493907,0.0557685,19568,1310158,10000,0
50000,82.6009,0.00493907,0.0557685,24050,1400178,10000,0
60000,85.32,0.00493907,0.0557685,28533,1513596,10000,0
50000,70.3877,0.00493907,0.0557685,24050,1400178,10000,0
50000,90.4005,0.00493907,0.0557685,24050,1400178,10000,0
70000,98.7267,0.00493907,0.0557685,32950,1542440,10000,0
60000,98.4968,0.00493907,0.0557685,28533,1513596,10000,0
60000,83.8479,0.00493907,0.0557685,28533,1513596,10000,0
80000,112.626,0.00493907,0.0557685,37398,1582024,10000,0
60000,107.914,0.00493907,0.0557685,28533,1513596,10000,0
70000,113.948,0.00493907,0.0557685,32950,1542440,10000,0
70000,97.0442,0.00493907,0.0557685,32950,1542440,10000,0
90000,126.799,0.00493907,0.0557685,41726,1644945,10000,0
70000,124.908,0.00493907,0.0557685,32950,1542440,10000,0
80000,130.073,0.00493907,0.0557685,37398,1582024,10000,0
80000,110.623,0.00493907,0.0557685,37398,1582024,10000,0
100000,140.747,0.00493907,0.0557685,46017,1648477,10000,0
90000,146.733,0.00493907,0.0557685,41726,1644945,10000,0
80000,142.948,0.00493907,0.0557685,37398,1582024,10000,0
90000,124.535,0.00493907,0.0557685,41726,1644945,10000,0
110000,155.522,0.00493907,0.0557685,50351,1736407,10000,0
100000,138.191,0.00493907,0.0557685,46017,1648477,10000,0
100000,162.918,0.00493907,0.0557685,46017,1648477,10000,0
90000,161.787,0.00493907,0.0557685,41726,1644945,10000,0
120000,170.14,0.00493907,0.0557685,54565,1776206,10000,0
110000,152.66,0.00493907,0.0557685,50351,1736407,10000,0
110000,180.039,0.00493907,0.0557685,50351,1736407,10000,0
130000,184.834,0.00493907,0.0557685,58772,1766232,10000,0
100000,180.516,0.00493907,0.0557685,46017,1648477,10000,0
120000,167.015,0.00493907,0.0557685,54565,1776206,10000,0
120000,196.993,0.00493907,0.0557685,54565,1776206,10000,0
140000,199.655,0.00493907,0.0557685,63055,1756273,10000,0
130000,181.327,0.00493907,0.0557685,58772,1766232,10000,0
110000,200.819,0.00493907,0.0557685,50351,1736407,10000,0
150000,214.768,0.00493907,0.0557685,67221,1792990,10000,0
130000,213.94,0.00493907,0.0557685,58772,1766232,10000,0
140000,195.861,0.00493907,0.0557685,63055,1756273,10000,0
120000,221.247,0.00493907,0.0557685,54565,1776206,10000,0
160000,230.07,0.00493907,0.0557685,71338,1783021,10000,0
140000,231.061,0.00493907,0.0557685,63055,1756273,10000,0
150000,210.831,0.00493907,0.0557685,67221,1792990,10000,0
170000,245.933,0.00493907,0.0557685,75384,1860047,10000,0
130000,241.746,0.00493907,0.0557685,58772,1766232,10000,0
150000,248.531,0.00493907,0.0557685,67221,1792990,10000,0
160000,225.845,0.00493907,0.0557685,71338,1783021,10000,0
180000,261.669,0.00493907,0.0557685,79518,1850073,10000,0
170000,241.499,0.00493907,0.0557685,75384,1860047,10000,0
160000,265.909,0.00493907,0.0557685,71338,1783021,10000,0
140000,262.78,0.00493907,0.0557685,63055,1756273,10000,0
190000,277.868,0.00493907,0.0557685,83626,1889046,10000,0
180000,256.929,0.00493907,0.0557685,79518,1850073,10000,0
170000,284.025,0.00493907,0.0557685,75384,1860047,10000,0
150000,284.855,0.00493907,0.0557685,67221,1792990,10000,0
200000,294.145,0.00493907,0.0557685,87508,1929611,10000,0
190000,272.813,0.00493907,0.0557685,83626,1889046,10000,0
180000,301.866,0.00493907,0.0557685,79518,1850073,10000,0
210000,310.399,0.00493907,0.0557685,91596,1919640,10000,0
160000,307.328,0.00493907,0.0557685,71338,1783021,10000,0
200000,288.761,0.00493907,0.0557685,87508,1929611,10000,0
190000,320.209,0.00493907,0.0557685,83626,1889046,10000,0
220000,326.835,0.00493907,0.0557685,95437,1909660,10000,0
210000,304.787,0.00493907,0.0557685,91596,1919640,10000,0
170000,331.086,0.00493907,0.0557685,75384,1860047,10000,0
200000,338.736,0.00493907,0.0557685,87508,1929611,10000,0
230000,343.478,0.00493907,0.0557685,99357,1899695,10000,0
220000,320.971,0.00493907,0.0557685,95437,1909660,10000,0
210000,357.363,0.00493907,0.0557685,91596,1919640,10000,0
240000,360.388,0.00493907,0.0557685,103364,1915573,10000,0
180000,354.616,0.00493907,0.0557685,79518,1850073,10000,0
230000,337.409,0.00493907,0.0557685,99357,1899695,10000,0
250000,377.575,0.00493907,0.0557685,107341,1974073,10000,0
220000,376.11,0.00493907,0.0557685,95437,1909660,10000,0
240000,354.155,0.00493907,0.0557685,103364,1915573,10000,0
190000,379.054,0.00493907,0.0557685,83626,1889046,10000,0
260000,394.487,0.00493907,0.0557685,111096,1964096,10000,0
250000,370.956,0.00493907,0.0557685,107341,1974073,10000,0
230000,395.134,0.00493907,0.0557685,99357,1899695,10000,0
200000,403.965,0.00493907,0.0557685,87508,1929611,10000,0
270000,411.939,0.00493907,0.0557685,114972,2000967,10000,0
260000,387.716,0.00493907,0.0557685,111096,1964096,10000,0
240000,414.629,0.00493907,0.0557685,103364,1915573,10000,0
280000,429.703,0.00493907,0.0557685,118832,2081754,10000,0
270000,404.83,0.00493907,0.0557685,114972,2000967,10000,0
210000,428.856,0.00493907,0.0557685,91596,1919640,10000,0
250000,434.417,0.00493907,0.0557685,107341,1974073,10000,0
280000,422.379,0.00493907,0.0557685,118832,2081754,10000,0
290000,447.502,0.00493907,0.0557685,122717,2071787,10000,0
260000,454.04,0.00493907,0.0557685,111096,1964096,10000,0
220000,454.498,0.00493907,0.0557685,95437,1909660,10000,0
290000,439.828,0.00493907,0.0557685,122717,2071787,10000,0
300000,465.683,0.00493907,0.0557685,126490,2072771,10000,0
270000,474.092,0.00493907,0.0557685,114972,2000967,10000,0
300000,457.485,0.00493907,0.0557685,126490,2072771,10000,0
310000,484.135,0.00493907,0.0557685,130348,2062793,10000,0
230000,480.222,0.00493907,0.0557685,99357,1899695,10000,0
280000,494.335,0.00493907,0.0557685,118832,2081754,10000,0
310000,475.274,0.00493907,0.0557685,130348,2062793,10000,0
320000,503.783,0.00493907,0.0557685,134196,2220914,10000,0
240000,507.08,0.00493907,0.0557685,103364,1915573,10000,0
290000,514.544,0.00493907,0.0557685,122717,2071787,10000,0
320000,494.188,0.00493907,0.0557685,134196,2220914,10000,0
330000,523.078,0.00493907,0.0557685,138100,2301568,10000,0
300000,535.291,0.00493907,0.0557685,126490,2072771,10000,0
330000,512.803,0.00493907,0.0557685,138100,2301568,10000,0
250000,534.336,0.00493907,0.0557685,107341,1974073,10000,0
340000,542.248,0.00493907,0.0557685,141776,2398974,10000,0
340000,531.745,0.00493907,0.0557685,141776,2398974,10000,0
310000,556.119,0.00493907,0.0557685,130348,2062793,10000,0
350000,561.176,0.00493907,0.0557685,145466,2412692,10000,0
260000,561.984,0.00493907,0.0557685,111096,1964096,10000,0
350000,550.4,0.00493907,0.0557685,145466,2412692,10000,0
320000,578.17,0.00493907,0.0557685,134196,2220914,10000,0
360000,580.162,0.00493907,0.0557685,149133,2445697,10000,0
360000,569.334,0.00493907,0.0557685,149133,2445697,10000,0
270000,590.161,0.00493907,0.0557685,114972,2000967,10000,0
370000,599.19,0.00493907,0.0557685,152847,2435726,10000,0
330000,599.886,0.00493907,0.0557685,138100,2301568,10000,0
370000,588.393,0.00493907,0.0557685,152847,2435726,10000,0
380000,619.348,0.00493907,0.0557685,156440,2425743,10000,0
340000,621.996,0.00493907,0.0557685,141776,2398974,10000,0
280000,619.175,0.00493907,0.0557685,118832,2081754,10000,0
380000,607.707,0.00493907,0.0557685,156440,2425743,10000,0
390000,639.719,0.00493907,0.0557685,160095,2415779,10000,0
350000,643.699,0.00493907,0.0557685,145466,2412692,10000,0
390000,626.997,0.00493907,0.0557685,160095,2415779,10000,0
290000,648.113,0.00493907,0.0557685,122717,2071787,10000,0
400000,660.113,0.00493907,0.0557685,163805,2405807,10000,0
360000,665.882,0.00493907,0.0557685,149133,2445697,10000,0
400000,646.301,0.00493907,0.0557685,163805,2405807,10000,0
410000,680.686,0.00493907,0.0557685,167427,2395830,10000,0
300000,677.831,0.00493907,0.0557685,126490,2072771,10000,0
370000,687.893,0.00493907,0.0557685,152847,2435726,10000,0
410000,665.914,0.00493907,0.0557685,167427,2395830,10000,0
420000,701.604,0.00493907,0.0557685,171059,2427633,10000,0
420000,685.707,0.00493907,0.0557685,171059,2427633,10000,0
380000,710.049,0.00493907,0.0557685,156440,2425743,10000,0
310000,707.808,0.00493907,0.0557685,130348,2062793,10000,0
430000,722.137,0.00493907,0.0557685,174706,2417661,10000,0
430000,705.485,0.00493907,0.0557685,174706,2417661,10000,0
390000,732.427,0.00493907,0.0557685,160095,2415779,10000,0
440000,742.463,0.00493907,0.0557685,178223,2407681,10000,0
320000,740.021,0.00493907,0.0557685,134196,2220914,10000,0
440000,725.407,0.00493907,0.0557685,178223,2407681,10000,0
400000,754.923,0.00493907,0.0557685,163805,2405807,10000,0
450000,763.3,0.00493907,0.0557685,181702,2480995,10000,0
450000,745.722,0.00493907,0.0557685,181702,2480995,10000,0
330000,771.424,0.00493907,0.0557685,138100,2301568,10000,0
410000,777.977,0.00493907,0.0557685,167427,2395830,10000,0
460000,784.706,0.00493907,0.0557685,185381,2472352,10000,0
460000,765.948,0.00493907,0.0557685,185381,2472352,10000,0
420000,801.282,0.00493907,0.0557685,171059,2427633,10000,0
470000,805.788,0.00493907,0.0557685,188762,2504629,10000,0
340000,803.823,0.00493907,0.0557685,141776,2398974,10000,0
470000,786.333,0.00493907,0.0557685,188762,2504629,10000,0
430000,824.894,0.00493907,0.0557685,174706,2417661,10000,0
480000,826.585,0.00493907,0.0557685,192298,2494650,10000,0
480000,806.759,0.00493907,0.0557685,192298,2494650,10000,0
350000,835.899,0.00493907,0.0557685,145466,2412692,10000,0
490000,846.77,0.00493907,0.0557685,195818,2486234,10000,0
440000,848.827,0.00493907,0.0557685,178223,2407681,10000,0
490000,827.051,0.00493907,0.0557685,195818,2486234,10000,0
500000,867.431,0.00493907,0.0557685,199430,2515275,10000,0
500000,847.612,0.00493907,0.0557685,199430,2515275,10000,0
450000,873.187,0.00493907,0.0557685,181702,2480995,10000,0
360000,868.98,0.00493907,0.0557685,149133,2445697,10000,0
510000,887.966,0.00493907,0.0557685,202953,2505645,10000,0
510000,868.091,0.00493907,0.0557685,202953,2505645,10000,0
460000,897.539,0.00493907,0.0557685,185381,2472352,10000,0
370000,901.919,0.00493907,0.0557685,152847,2435726,10000,0
520000,910.179,0.00493907,0.0557685,206502,2537865,10000,0
520000,889.244,0.00493907,0.0557685,206502,2537865,10000,0
470000,922.235,0.00493907,0.0557685,188762,2504629,10000,0
530000,933.279,0.00493907,0.0557685,209965,2570049,10000,0
530000,910.411,0.00493907,0.0557685,209965,2570049,10000,0
380000,935.832,0.00493907,0.0557685,156440,2425743,10000,0
480000,946.975,0.00493907,0.0557685,192298,2494650,10000,0
540000,955.923,0.00493907,0.0557685,213587,2641709,10000,0
540000,931.796,0.00493907,0.0557685,213587,2641709,10000,0
490000,971.68,0.00493907,0.0557685,195818,2486234,10000,0
390000,969.934,0.00493907,0.0557685,160095,2415779,10000,0
550000,953.372,0.00493907,0.0557685,216962,2631734,10000,0
550000,979.186,0.00493907,0.0557685,216962,2631734,10000,0
500000,996.967,0.00493907,0.0557685,199430,2515275,10000,0
560000,974.699,0.00493907,0.0557685,220478,2622891,10000,0
560000,1001.93,0.00493907,0.0557685,220478,2622891,10000,0
400000,1004.28,0.00493907,0.0557685,163805,2405807,10000,0
570000,997.159,0.00493907,0.0557685,223709,2669771,10000,0
510000,1022.68,0.00493907,0.0557685,202953,2505645,10000,0
570000,1025.3,0.00493907,0.0557685,223709,2669771,10000,0
580000,1019.54,0.00493907,0.0557685,227319,2683851,10000,0
410000,1039.43,0.00493907,0.0557685,167427,2395830,10000,0
580000,1049.01,0.00493907,0.0557685,227319,2683851,10000,0
520000,1049.34,0.00493907,0.0557685,206502,2537865,10000,0
590000,1042.37,0.00493907,0.0557685,230644,2709748,10000,0
590000,1073.4,0.00493907,0.0557685,230644,2709748,10000,0
530000,1075.71,0.00493907,0.0557685,209965,2570049,10000,0
420000,1075.08,0.00493907,0.0557685,171059,2427633,10000,0
600000,1065.71,0.00493907,0.0557685,233974,2739726,10000,0
600000,1098.42,0.00493907,0.0557685,233974,2739726,10000,0
540000,1102.49,0.00493907,0.0557685,213587,2641709,10000,0
610000,1088.89,0.00493907,0.0557685,237296,2768021,10000,0
430000,1110.78,0.00493907,0.0557685,174706,2417661,10000,0
610000,1123.63,0.00493907,0.0557685,237296,2768021,10000,0
550000,1129.76,0.00493907,0.0557685,216962,2631734,10000,0
620000,1112.55,0.00493907,0.0557685,240537,2796124,10000,0
620000,1149.17,0.00493907,0.0557685,240537,2796124,10000,0
440000,1147.55,0.00493907,0.0557685,178223,2407681,10000,0
560000,1156.98,0.00493907,0.0557685,220478,2622891,10000,0
630000,1136.4,0.00493907,0.0557685,243917,2786151,10000,0
630000,1175.3,0.00493907,0.0557685,243917,2786151,10000,0
640000,1160.35,0.00493907,0.0557685,247346,2776187,10000,0
570000,1184.89,0.00493907,0.0557685,223709,2669771,10000,0
450000,1184.87,0.00493907,0.0557685,181702,2480995,10000,0
640000,1201.6,0.00493907,0.0557685,247346,2776187,10000,0
650000,1184.99,0.00493907,0.0557685,250409,2766211,10000,0
580000,1212.76,0.00493907,0.0557685,227319,2683851,10000,0
460000,1221.98,0.00493907,0.0557685,185381,2472352,10000,0
650000,1228.31,0.00493907,0.0557685,250409,2766211,10000,0
660000,1209.55,0.00493907,0.0557685,253835,2756235,10000,0
590000,1241.11,0.00493907,0.0557685,230644,2709748,10000,0
660000,1254.11,0.00493907,0.0557685,253835,2756235,10000,0
670000,1234.33,0.00493907,0.0557685,257312,2746268,10000,0
470000,1259.85,0.00493907,0.0557685,188762,2504629,10000,0
600000,1269.93,0.00493907,0.0557685,233974,2739726,10000,0
670000,1279.39,0.00493907,0.0557685,257312,2746268,10000,0
680000,1259.35,0.00493907,0.0557685,260516,2736297,10000,0
610000,1299.1,0.00493907,0.0557685,237296,2768021,10000,0
480000,1297.41,0.00493907,0.0557685,192298,2494650,10000,0
680000,1306.21,0.00493907,0.0557685,260516,2736297,10000,0
690000,1284.4,0.00493907,0.0557685,263930,2726819,10000,0
620000,1329.03,0.00493907,0.0557685,240537,2796124,10000,0
690000,1333.18,0.00493907,0.0557685,263930,2726819,10000,0
700000,1309.37,0.00493907,0.0557685,267173,2755163,10000,0
